,,,,,Waitlist # at end of day,
Person ID,Course Sec,Registration Date,Status,Waitlist Reason,Day -89,Day -88
1484740,FDMAT108-15,7/27/2016 3:50:00 PM,Dropped,Waitlist System Dropped,,
1504109,FDMAT108-15,7/27/2016 4:19:00 PM,Dropped,,,
1504109,FDMAT108-15,7/27/2016 4:19:00 PM,Registered,Waitlist Registered,,
1486795,FDMAT108-15,7/27/2016 7:50:00 PM,Dropped,Waitlist System Dropped,,
1475589,FDMAT108-15,7/29/2016 2:47:00 PM,Dropped,,,
1505718,FDMAT108-15,7/29/2016 5:38:00 PM,Dropped,,,
1505718,FDMAT108-15,7/29/2016 5:38:00 PM,Registered,Waitlist Registered,,
1275920,FDMAT108-15,7/30/2016 10:57:00 AM,Dropped,,,
1439424,FDMAT108-15,7/31/2016 11:20:00 AM,Dropped,Waitlist System Dropped,,
1452440,FDMAT108-15,7/31/2016 2:11:00 PM,Wait List,,,
1458696,FDMAT108-15,8/1/2016 11:01:00 AM,Dropped,,,
1458696,FDMAT108-15,8/1/2016 11:01:00 AM,Registered,Waitlist Registered,,
1382266,FDMAT108-15,8/1/2016 9:16:00 PM,Wait List,,,
1501576,FDMAT108-15,8/1/2016 9:23:00 PM,Wait List,,,
1383778,FDMAT108-15,8/3/2016 1:02:00 PM,Dropped,Waitlist Student Dropped,,
1353348,FDMAT108-15,8/3/2016 11:40:00 PM,Dropped,,,
1485715,FDMAT108-15,8/4/2016 6:08:00 PM,Wait List,,,
1485715,FDMAT108-15,8/4/2016 6:51:00 PM,Dropped,Waitlist Student Dropped,,
1465430,FDMAT108-15,8/4/2016 9:51:00 PM,Dropped,,,
1465430,FDMAT108-15,8/4/2016 9:51:00 PM,Registered,Waitlist Registered,,
1423348,FDMAT108-15,8/8/2016 7:26:00 PM,Wait List,,,
1423348,FDMAT108-15,8/8/2016 7:45:00 PM,Dropped,Waitlist Student Dropped,,
1436636,FDMAT108-15,8/8/2016 9:39:00 PM,Wait List,,,
1490213,FDMAT108-15,8/8/2016 10:09:00 PM,Wait List,,,
1452440,FDMAT108-15,8/12/2016 7:31:00 PM,Dropped,Waitlist Student Dropped,,
1486691,FDMAT108-15,8/14/2016 5:36:00 PM,Wait List,,,
1486691,FDMAT108-15,8/14/2016 6:38:00 PM,Dropped,Waitlist Student Dropped,,
1314690,FDMAT108-15,8/17/2016 9:25:00 AM,Wait List,,,
1479907,FDMAT108-15,8/17/2016 12:35:00 PM,Wait List,,,
1320131,FDMAT108-15,8/18/2016 6:27:00 PM,Wait List,,,
1490442,FDMAT108-15,8/18/2016 8:47:00 PM,Wait List,,,
1490442,FDMAT108-15,8/18/2016 8:51:00 PM,Dropped,Waitlist Student Dropped,,
855544,FDMAT108-15,8/20/2016 11:41:00 AM,Wait List,,,
1257985,FDMAT108-15,8/22/2016 1:31:00 PM,Dropped,Waitlist Student Dropped,,
1360158,FDMAT108-15,8/22/2016 2:14:00 PM,Wait List,,,
1387405,FDMAT108-15,8/23/2016 1:03:00 AM,Dropped,,,
1320323,FDMAT108-15,8/23/2016 9:24:00 AM,Dropped,,,
1320323,FDMAT108-15,8/23/2016 9:24:00 AM,Registered,Waitlist Registered,,
1360158,FDMAT108-15,8/23/2016 10:43:00 AM,Dropped,Waitlist Student Dropped,,
1422423,FDMAT108-15,8/25/2016 4:23:00 PM,Dropped,,,
1489521,FDMAT108-15,8/26/2016 4:50:00 PM,Dropped,Waitlist System Dropped,,
1479589,FDMAT108-15,8/27/2016 5:05:00 PM,Dropped,Waitlist System Dropped,,
1128504,FDMAT108-15,8/28/2016 1:53:00 AM,Dropped,,,
1128504,FDMAT108-15,8/28/2016 1:53:00 AM,Registered,Waitlist Registered,,
1486879,FDMAT108-15,8/28/2016 1:05:00 PM,Wait List,,,
1247965,FDMAT108-15,8/30/2016 3:25:00 PM,Wait List,,,
1473171,FDMAT108-15,8/30/2016 5:14:00 PM,Dropped,,,
1487298,FDMAT108-15,8/30/2016 9:07:00 PM,Wait List,,,
1485487,FDMAT108-15,8/31/2016 5:35:00 PM,Dropped,Waitlist System Dropped,,
1485487,FDMAT108-15,9/1/2016 12:26:00 AM,Wait List,,,
984038,FDMAT108-15,9/1/2016 7:37:00 AM,Dropped,,,
1492618,FDMAT108-15,9/1/2016 3:39:00 PM,Wait List,,,
852990,FDMAT108-15,9/1/2016 5:50:00 PM,Dropped,Waitlist System Dropped,,
1450078,FDMAT108-15,9/1/2016 10:44:00 PM,Dropped,,,
1450078,FDMAT108-15,9/1/2016 10:44:00 PM,Registered,Waitlist Registered,,
1382266,FDMAT108-15,9/2/2016 6:05:00 PM,Dropped,Waitlist System Dropped,,
1501576,FDMAT108-15,9/3/2016 6:20:00 PM,Dropped,Waitlist System Dropped,,
1436636,FDMAT108-15,9/3/2016 10:01:00 PM,Dropped,,,
1436636,FDMAT108-15,9/3/2016 10:02:00 PM,Registered,Waitlist Registered,,
1487298,FDMAT108-15,9/6/2016 5:30:00 PM,Dropped,Waitlist Student Dropped,,
1327971,FDMAT108-15,9/7/2016 11:48:00 PM,Wait List,,,
1283767,FDMAT108-15,9/8/2016 2:29:00 PM,Wait List,,,
1283767,FDMAT108-15,9/8/2016 3:04:00 PM,Dropped,Waitlist Student Dropped,,
1503142,FDMAT108-15,9/8/2016 5:02:00 PM,Wait List,,,
1275646,FDMAT108-15,9/9/2016 9:53:00 AM,Dropped,,,
1490213,FDMAT108-15,9/9/2016 11:18:00 PM,Dropped,,,
1490213,FDMAT108-15,9/9/2016 11:18:00 PM,Registered,Waitlist Registered,,
1320131,FDMAT108-15,9/11/2016 2:03:00 PM,Dropped,Waitlist Student Dropped,,
1489521,FDMAT108-15,9/11/2016 4:51:00 PM,Wait List,,,
1413609,FDMAT108-15,9/11/2016 7:16:00 PM,Wait List,,,
1314690,FDMAT108-15,9/11/2016 8:58:00 PM,Dropped,Waitlist Student Dropped,,
1484610,FDMAT108-15,9/11/2016 10:48:00 PM,Wait List,,,
855544,FDMAT108-15,9/11/2016 11:23:00 PM,Dropped,Waitlist Student Dropped,,
1484610,FDMAT108-15,9/12/2016 2:53:00 PM,Dropped,Waitlist Student Dropped,,
1486879,FDMAT108-15,9/13/2016 4:47:00 PM,Dropped,Waitlist Student Dropped,,
1327971,FDMAT108-15,9/13/2016 11:05:00 PM,Dropped,Waitlist System Dropped,,
1247965,FDMAT108-15,9/14/2016 9:04:00 AM,Dropped,Waitlist Student Dropped,,
1390499,FDMAT108-15,9/14/2016 10:00:00 AM,Dropped,,,
1479907,FDMAT108-15,9/14/2016 11:39:00 AM,Dropped,,,
1479907,FDMAT108-15,9/14/2016 11:39:00 AM,Registered,Waitlist Registered,,
1446448,FDMAT108-15,9/14/2016 1:00:00 PM,Wait List,,,
1247965,FDMAT108-15,9/14/2016 1:19:00 PM,Wait List,,,
1471894,FDMAT108-15,9/14/2016 6:18:00 PM,Dropped,,,
1485487,FDMAT108-15,9/14/2016 6:34:00 PM,Dropped,,,
1485487,FDMAT108-15,9/14/2016 6:34:00 PM,Registered,Waitlist Registered,,
1492618,FDMAT108-15,9/15/2016 11:51:00 PM,Dropped,Waitlist Student Dropped,,
1413609,FDMAT108-15,9/16/2016 9:54:00 AM,Dropped,,,
1413609,FDMAT108-15,9/16/2016 9:54:00 AM,Registered,Waitlist Registered,,
1489521,FDMAT108-15,9/16/2016 9:57:00 AM,Dropped,,,
1489521,FDMAT108-15,9/16/2016 9:57:00 AM,Registered,Waitlist Registered,,
1446448,FDMAT108-15,9/16/2016 10:40:00 AM,Dropped,,,
1446448,FDMAT108-15,9/16/2016 10:40:00 AM,Registered,Waitlist Registered,,
1247965,FDMAT108-15,9/16/2016 1:52:00 PM,Dropped,,,
1247965,FDMAT108-15,9/16/2016 1:52:00 PM,Registered,Waitlist Registered,,
1485487,FDMAT108-15,9/17/2016 2:33:00 PM,Dropped,,,
1503142,FDMAT108-15,9/17/2016 8:57:00 PM,Dropped,,,
1503142,FDMAT108-15,9/17/2016 8:57:00 PM,Registered,Waitlist Registered,,
1265200,FDMAT108-15,9/18/2016 11:06:00 PM,Dropped,,,
1479907,FDMAT108-15,9/18/2016 11:41:00 PM,Dropped,,,
1438013,FDMAT108-15,11/3/2016 10:50:00 AM,Withdrawn,,,
1504109,FDMAT108-15,2/9/2017 9:46:00 AM,Withdrawn,,,
