,,,,,Waitlist # at end of day,
Person ID,Course Sec,Registration Date,Status,Waitlist Reason,Day -89,Day -88
1475601,FDMAT108-14,6/15/2016 9:37:00 AM,Wait List,,1,0
1475871,FDMAT108-14,6/15/2016 9:39:00 AM,Wait List,,,
1394710,FDMAT108-14,6/15/2016 10:02:00 AM,Dropped,,,
1475871,FDMAT108-14,6/15/2016 10:12:00 AM,Dropped,Waitlist Student Dropped,,
1482994,FDMAT108-14,6/15/2016 10:16:00 AM,Dropped,Waitlist Student Dropped,,
1489198,FDMAT108-14,6/15/2016 10:19:00 AM,Wait List,,,
1489413,FDMAT108-14,6/15/2016 10:27:00 AM,Wait List,,,
1494474,FDMAT108-14,6/15/2016 12:10:00 PM,Wait List,,,
1484536,FDMAT108-14,6/15/2016 3:05:00 PM,Wait List,,,
1488485,FDMAT108-14,6/15/2016 5:00:00 PM,Wait List,,,
1477522,FDMAT108-14,6/15/2016 8:35:00 PM,Wait List,,,
1477522,FDMAT108-14,6/15/2016 9:06:00 PM,Dropped,Waitlist Student Dropped,,
1505648,FDMAT108-14,6/15/2016 9:31:00 PM,Wait List,,,
1502525,FDMAT108-14,6/15/2016 11:30:00 PM,Wait List,,,
1475601,FDMAT108-14,6/16/2016 9:05:00 AM,Dropped,,,
1475601,FDMAT108-14,6/16/2016 9:05:00 AM,Registered,Waitlist Registered,,
1502525,FDMAT108-14,6/16/2016 7:50:00 PM,Dropped,Waitlist Student Dropped,,
1428491,FDMAT108-14,6/17/2016 11:13:00 AM,Wait List,,,
1449745,FDMAT108-14,6/18/2016 8:28:00 AM,Wait List,,,
1492312,FDMAT108-14,6/18/2016 9:56:00 PM,Wait List,,,
1478129,FDMAT108-14,6/19/2016 4:55:00 PM,Wait List,,,
1478129,FDMAT108-14,6/19/2016 4:59:00 PM,Dropped,Waitlist Student Dropped,,
1449236,FDMAT108-14,6/20/2016 7:09:00 AM,Wait List,,,
1382266,FDMAT108-14,6/20/2016 10:55:00 AM,Wait List,,,
1479126,FDMAT108-14,6/21/2016 12:26:00 PM,Wait List,,,
1483574,FDMAT108-14,6/21/2016 7:36:00 PM,Dropped,,,
1482993,FDMAT108-14,6/21/2016 11:47:00 PM,Dropped,,,
1254656,FDMAT108-14,6/22/2016 7:19:00 AM,Wait List,,,
1260837,FDMAT108-14,6/22/2016 10:36:00 AM,Wait List,,,
1489198,FDMAT108-14,6/22/2016 12:16:00 PM,Dropped,,,
1489198,FDMAT108-14,6/22/2016 12:16:00 PM,Registered,Waitlist Registered,,
1254656,FDMAT108-14,6/22/2016 10:41:00 PM,Dropped,Waitlist Student Dropped,,
1489413,FDMAT108-14,6/23/2016 12:05:00 AM,Dropped,Waitlist System Dropped,Day -82,
1395256,FDMAT108-14,6/23/2016 8:43:00 AM,Wait List,,,
1278013,FDMAT108-14,6/23/2016 1:07:00 PM,Wait List,,,
1495651,FDMAT108-14,6/23/2016 5:14:00 PM,Wait List,,,
1494474,FDMAT108-14,6/24/2016 12:20:00 AM,Dropped,Waitlist System Dropped,,
1484536,FDMAT108-14,6/24/2016 11:23:00 AM,Dropped,,,
1484536,FDMAT108-14,6/24/2016 11:23:00 AM,Registered,Waitlist Registered,,
1300820,FDMAT108-14,6/25/2016 12:47:00 PM,Wait List,,,
1300820,FDMAT108-14,6/25/2016 4:36:00 PM,Dropped,Waitlist Student Dropped,,
1495644,FDMAT108-14,6/26/2016 2:04:00 AM,Wait List,,,
1495644,FDMAT108-14,6/26/2016 2:20:00 AM,Dropped,Waitlist System Dropped,,
1491573,FDMAT108-14,6/27/2016 9:26:00 AM,Wait List,,,
1390522,FDMAT108-14,6/27/2016 10:38:00 AM,Wait List,,,
1497486,FDMAT108-14,6/27/2016 11:51:00 AM,Wait List,,,
1430968,FDMAT108-14,6/28/2016 10:05:00 AM,Wait List,,,
1430968,FDMAT108-14,7/1/2016 3:36:00 PM,Dropped,Waitlist Student Dropped,,
1260837,FDMAT108-14,7/1/2016 3:50:00 PM,Dropped,Waitlist System Dropped,,
1449745,FDMAT108-14,7/1/2016 6:55:00 PM,Dropped,Waitlist Student Dropped,,
1479126,FDMAT108-14,7/1/2016 10:50:00 PM,Dropped,Waitlist System Dropped,,
1492312,FDMAT108-14,7/2/2016 7:11:00 PM,Dropped,Waitlist Student Dropped,,
1430784,FDMAT108-14,7/3/2016 8:03:00 PM,Wait List,,,
1395256,FDMAT108-14,7/5/2016 1:31:00 PM,Dropped,Waitlist Student Dropped,,
1497486,FDMAT108-14,7/6/2016 11:30:00 AM,Dropped,Waitlist Student Dropped,,
