name,type,time,amount
SplashandDash,Services,2016-05-27T17:55:00Z,15
SplashandDash,Services,2016-05-27T18:07:00Z,20
SplashandDash,Services,2016-05-27T18:37:00Z,45
SplashandDash,Services,2016-05-27T20:00:00Z,20
SplashandDash,Services,2016-05-27T20:18:00Z,20
SplashandDash,Services,2016-05-30T19:39:00Z,5
SplashandDash,Services,2016-05-30T19:39:00Z,15
SplashandDash,Services,2016-05-30T17:17:00Z,50
SplashandDash,Services,2016-05-30T17:17:00Z,10
SplashandDash,Services,2016-05-30T17:53:00Z,35
SplashandDash,Services,2016-05-30T18:36:00Z,30
SplashandDash,Services,2016-05-30T18:39:00Z,20
SplashandDash,Services,2016-05-30T18:53:00Z,20
SplashandDash,Services,2016-05-30T20:17:00Z,30
SplashandDash,Services,2016-05-30T20:50:00Z,30
SplashandDash,Services,2016-05-30T20:52:00Z,30
SplashandDash,Services,2016-05-30T21:34:00Z,6
SplashandDash,Services,2016-05-31T19:14:00Z,60
SplashandDash,Services,2016-05-31T17:14:00Z,30
SplashandDash,Services,2016-05-31T18:04:00Z,15
SplashandDash,Services,2016-05-31T18:27:00Z,20
SplashandDash,Services,2016-05-31T21:11:00Z,20
SplashandDash,Services,2016-05-31T21:24:00Z,30
SplashandDash,Services,2016-05-31T22:14:00Z,50
SplashandDash,Services,2016-05-31T22:36:00Z,20
SplashandDash,Services,2016-05-31T23:00:00Z,15
SplashandDash,Services,2016-05-31T23:08:00Z,20
SplashandDash,Services,2016-05-31T23:14:00Z,20
SplashandDash,Services,2016-05-31T15:56:00Z,-18.11
SplashandDash,Services,2016-05-31T15:59:00Z,-15.91
SplashandDash,Services,2016-06-01T19:44:00Z,-16.98
SplashandDash,Services,2016-06-01T19:48:00Z,20
SplashandDash,Services,2016-06-01T17:04:00Z,50
SplashandDash,Services,2016-06-01T17:57:00Z,15
SplashandDash,Services,2016-06-01T18:18:00Z,30
SplashandDash,Services,2016-06-01T18:26:00Z,10
SplashandDash,Services,2016-06-01T20:00:00Z,30
SplashandDash,Services,2016-06-01T20:51:00Z,20
SplashandDash,Services,2016-06-01T21:26:00Z,30
SplashandDash,Services,2016-06-01T22:15:00Z,30
SplashandDash,Services,2016-06-01T22:28:00Z,20
SplashandDash,Services,2016-06-01T22:51:00Z,20
SplashandDash,Services,2016-06-01T22:54:00Z,30
SplashandDash,Services,2016-06-10T19:57:00Z,35
SplashandDash,Services,2016-06-10T17:20:00Z,30
SplashandDash,Services,2016-06-10T18:18:00Z,20
SplashandDash,Services,2016-06-10T18:38:00Z,30
SplashandDash,Services,2016-06-10T18:43:00Z,20
SplashandDash,Services,2016-06-10T18:54:00Z,15
SplashandDash,Services,2016-06-10T20:13:00Z,20
SplashandDash,Services,2016-06-10T21:17:00Z,20
SplashandDash,Services,2016-06-10T21:47:00Z,15
SplashandDash,Services,2016-06-10T22:03:00Z,20
SplashandDash,Services,2016-06-10T22:32:00Z,-13.87
SplashandDash,Services,2016-06-11T17:30:00Z,20
SplashandDash,Services,2016-06-11T18:57:00Z,15
SplashandDash,Services,2016-06-11T18:59:00Z,25
SplashandDash,Services,2016-06-13T19:05:00Z,30
SplashandDash,Services,2016-06-13T19:36:00Z,20
SplashandDash,Services,2016-06-13T19:39:00Z,30
SplashandDash,Services,2016-06-13T20:00:00Z,-1.13
SplashandDash,Services,2016-06-13T20:02:00Z,-7.92
SplashandDash,Services,2016-06-13T20:05:00Z,40
SplashandDash,Services,2016-06-13T20:05:00Z,-11.6
SplashandDash,Services,2016-06-13T21:50:00Z,10
SplashandDash,Services,2016-06-13T14:39:00Z,30
SplashandDash,Services,2016-06-13T14:40:00Z,20
SplashandDash,Services,2016-06-13T14:40:00Z,30
SplashandDash,Services,2016-06-14T19:04:00Z,18
SplashandDash,Services,2016-06-14T19:07:00Z,50
SplashandDash,Services,2016-06-14T17:18:00Z,45
SplashandDash,Services,2016-06-14T17:56:00Z,20
SplashandDash,Services,2016-06-14T20:04:00Z,10
SplashandDash,Services,2016-06-14T20:57:00Z,20
SplashandDash,Services,2016-06-14T22:09:00Z,13
SplashandDash,Services,2016-06-14T22:33:00Z,15
SplashandDash,Services,2016-06-14T22:38:00Z,5
SplashandDash,Services,2016-06-15T19:59:00Z,50
SplashandDash,Services,2016-06-15T17:14:00Z,20
SplashandDash,Services,2016-06-15T17:20:00Z,15
SplashandDash,Services,2016-06-15T18:28:00Z,30
SplashandDash,Services,2016-06-15T18:52:00Z,30
SplashandDash,Services,2016-06-15T18:57:00Z,50
SplashandDash,Services,2016-06-15T20:16:00Z,-7.36
SplashandDash,Services,2016-06-15T20:21:00Z,80
SplashandDash,Services,2016-06-15T21:05:00Z,-11.09
SplashandDash,Services,2016-06-15T21:31:00Z,25
SplashandDash,Services,2016-06-15T22:39:00Z,5
SplashandDash,Services,2016-06-16T17:26:00Z,120
SplashandDash,Services,2016-06-16T17:41:00Z,20
SplashandDash,Services,2016-06-16T18:13:00Z,10
SplashandDash,Services,2016-06-16T18:20:00Z,15
SplashandDash,Services,2016-06-16T20:36:00Z,350
SplashandDash,Services,2016-06-16T20:59:00Z,50
SplashandDash,Services,2016-06-16T21:52:00Z,40
SplashandDash,Services,2016-06-16T22:49:00Z,10
SplashandDash,Services,2016-06-17T19:09:00Z,19
SplashandDash,Services,2016-06-17T17:00:00Z,60
SplashandDash,Services,2016-06-17T18:04:00Z,30
SplashandDash,Services,2016-06-17T18:08:00Z,20
SplashandDash,Services,2016-06-17T18:12:00Z,15
SplashandDash,Services,2016-06-17T18:14:00Z,15
